country_code_cow,year,rr_jntdem,rr_priorviol,rr_rile_a,rr_rile_b,rr_s_un_glo,rr_tot_rivals,rr_moent,rr_dayent,rr_totmids2,rr_totmids5,rr_undist,rr_inst,rr_coldwar,rr_interact,rr_symm,rr_concon,rr_conmod,rr_libmod,rr_con_norile,rr_lib_norile,rr_mod_norile,rr_cinc_rile,rr_cinc_rile2,rr_strngcon,rr_strnglft,rr_wkcon,rr_wklft,rr_strngmod,rr_wkmod,rr_mxd,rr_modmod,rr_strng_norile,rr_wk_norile,rr_cap_a,rr_cap_b,rr_lncprtio,rr_active,rr_cond_act,rr_noact_cnd,rr_cnflct_cnd,rr_cnflct_cnd2,rr_strngconXcap,rr_strnglftXcap,rr_s_norileXcap,rr_wkconXcap,rr_wklftXcap,rr_wk_norileXcap,rr_voice4,rr_voice3,rr_rile_norile,rr_liblib,rr_nr_dem,rr_nr_nodem,rr_strng_nrdem,rr_wk_nrdem,rr_strng_nrnodem,rr_wk_nrnodem,rr_nrdem_lft,rr_nrdem_con,rr_nrdem_mod,rr_nrnodem_lft,rr_nrnodem_con,rr_nrnodem_mod,rr_defcommit,rr_hierarch,dyad_count
620,1955,0.0,0.0,8.078,,0.531746,1.0,8.0,10.0,0.0,3.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.078,8.078,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0306306,0.0001895,5.085366,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.085366,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
630,1959,0.0,0.0,-5.3,,0.093633,11.0,3.0,5.0,14.0,25.0,0.651752,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.3,-5.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2289647,0.0056616,3.6998613,1.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.6998613,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
640,1959,0.0,0.0,-5.3,,0.400749,13.0,3.0,5.0,17.0,31.0,0.024593,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.3,-5.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2289647,0.0073587,3.4376845,1.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.4376845,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
640,1991,0.0,0.0,,5.2,0.93597,2.0,9.0,19.0,2.0,13.0,0.057603,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.2,5.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.005888,0.0136925,0.84393185,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.84393185,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
640,1992,0.75,0.0,11.167,5.375,0.8130758,4.25,5.25,9.0,2.25,10.75,0.2867995,1.25,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.75,5.375,5.375,0.0,0.0,0.25,0.0,0.5,0.5,0.0,0.0,0.5,0.25,0.0232454,0.0136385,1.7451913,0.0,0.0,0.75,1.25,1.25,0.0,0.0,0.5270341,0.4427893,0.0,0.7753679,1.25,1.25,0.75,0.0,0.5,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,4
640,1994,0.5,0.0,3.4080002,5.375,0.81550825,2.75,6.0,8.75,6.75,10.5,0.43378752,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.5,5.375,5.375,0.0,0.0,0.25,0.0,1.0,0.25,0.0,0.25,0.0,0.5,0.00126505,0.0153099,2.6013386,0.25,0.0,0.25,2.25,2.5,0.0,0.0,0.0,0.4903049,0.0,1.2849789,0.25,0.25,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,4
645,1955,0.0,0.0,-1.4,,0.468254,10.0,4.0,4.0,5.0,19.0,2.262473,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.4,-1.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0505929,0.0014816,3.5306888,1.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,3.5306888,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
651,1954,0.0,0.0,-1.4,,0.455285,10.0,10.0,19.0,8.0,20.0,2.512333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.4,-1.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0565141,0.005177,2.3902645,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3902645,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
663,1946,0.0,0.0,-31.3,,0.838384,5.0,3.0,22.0,1.0,7.0,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-31.3,-31.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1161727,0.0002177,6.279715,1.0,0.0,0.0,4.0,7.0,0.0,6.279715,0.0,0.0,0.0,6.279715,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1
663,1948,0.0,0.0,-31.3,,0.768519,4.0,3.0,15.0,5.0,6.0,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-31.3,-31.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.075426,0.000219,5.8418355,1.0,0.0,0.0,4.0,7.0,0.0,5.8418355,0.0,0.0,0.0,5.8418355,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1
663,1994,0.0,1.0,,-4.314,0.796791,0.0,10.0,26.0,1.0,6.0,2.984146,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.314,-4.314,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0012756,0.0035468,1.0226291,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0226291,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
666,1981,1.0,0.0,22.4,10.598,0.379455,11.0,11.0,30.0,12.0,28.0,0.306008,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.4,22.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1380075,0.0032868,3.7373936,1.0,1.0,0.0,3.0,4.0,3.7373936,0.0,0.0,3.7373936,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
666,1994,0.0,1.0,,-4.314,0.796791,0.0,10.0,26.0,1.0,6.0,2.984146,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.314,-4.314,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0012756,0.0035468,1.0226291,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0226291,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
692,1991,0.0,0.0,18.3,,0.20904,1.0,1.0,16.0,2.0,8.0,1.889493,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.3,18.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0116946,0.0004678,3.2188416,1.0,0.0,0.0,4.0,5.0,3.2188416,0.0,0.0,0.0,0.0,3.2188416,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
701,1994,0.0,0.0,-23.2,,0.803922,2.0,4.0,28.0,6.0,10.0,1.478212,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-23.2,-23.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0229005,0.0006293,3.594306,0.0,0.0,0.0,2.0,2.0,0.0,3.594306,0.0,0.0,0.0,3.594306,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
701,2002,0.0,0.0,38.153,,,,4.0,23.0,8.0,25.0,0.176082,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.153,38.153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.049657,0.0007128,4.243694,0.0,0.0,0.0,2.0,2.0,4.243694,0.0,0.0,0.0,0.0,4.243694,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
703,1994,0.0,0.0,-8.0745,,0.891266,1.5,8.5,8.0,3.5,6.5,1.2158484,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,-8.0745,-8.0745,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0125833,0.0003842,2.9312017,0.0,0.0,0.0,2.0,2.0,0.0,2.0438755,0.0,0.0,0.0,2.9312017,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,2
704,1993,0.0,0.0,-13.6,,0.802867,3.0,10.0,27.0,6.0,11.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-13.6,-13.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.021995,0.0032211,1.9210923,0.0,0.0,0.0,2.0,2.0,0.0,1.9210923,0.0,0.0,0.0,1.9210923,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
